"Category","Total"
"05/05",2
"05/06",28
"05/07",1
"05/08",0
"05/09",2
"05/10",1
"05/11",0
"05/12",0
"05/13",1
"05/14",4
"05/15",1
"05/16",3
"05/17",0
"05/18",0
