"Category","Unique"
"04/22",49
"04/23",8
"04/24",6
"04/25",13
"04/26",1
"04/27",0
"04/28",1
"04/29",1
"04/30",0
"05/01",1
"05/02",0
"05/03",4
"05/04",0
"05/05",2
