"Category","Total"
"05/05",0
"05/06",15
"05/07",0
"05/08",0
"05/09",0
"05/10",0
"05/11",0
"05/12",1
"05/13",0
"05/14",0
"05/15",0
"05/16",0
"05/17",0
"05/18",0
